跳水明星

一、中国跳水世界冠军一览表
　
时间 姓名 单位 性别 项目 比赛名称 地点
   1995年9月全国锦标赛，200米混合泳、100米蛙泳和200米蛙泳三块金牌；
   1995年城运会，50、100米蛙泳两块金牌；
   1995年11月世界杯短池系列赛，4×100米自由泳冠军，并刷新世界纪录；
   1996年1月7日世界杯短池系列赛第一站香港站，50米蛙泳以31"11刷新世界纪录；
   1月11日第二站北京，50米蛙以30"98再一次刷新世界纪录。
   1997年德国世界锦标赛，50米蛙泳以30"77打破世界纪录，这一成绩至今无人能破；
   1998年开始，50米、100米蛙泳多次全国冠军；
   1999年大庆全国比赛，100米自由泳冠军；
   1999年10月杭州全国锦标赛，彻底将主项改为自由泳；
   2000年4月第六届亚锦赛，５０米自由泳冠军，
   ４×１００米混合接力冠军（战殊、齐晖、阮怡和韩雪）

郭晶晶（Guo Jingjing）
性别：女
籍贯：河北保定
生日：1981.10.15
身高：1.61米
体重：49公斤
项目：跳水

辉煌战绩
   伏明霞之后，中国女子跳水的领军人物。
   1995年世界杯女子10米跳台、3米跳板单人、双人冠军；
   1996年第26届奥运会女子10米跳台第5名；
   1998年世锦赛女子3米跳板亚军；
   1999年世界杯女子3米跳板双人冠军、单人第3名；
   2000年世界杯3米跳板单人冠军、双人亚军；
   2000年第27届奥运会3米跳板双人冠军、单人亚军；
   2001年九运会女子1米跳板、3米跳板冠军；
   2002年全国跳水冠军赛女子1米跳板、3米跳板冠军；
   2002年世界杯跳水赛女子3米跳板单人冠军、双人亚军；
   2002年全国跳水锦标赛女子3米跳板冠军；
   2002年釜山亚运会女子3米板单人、双人冠军；
   2003年国际泳联跳水大奖赛澳大利亚站女子单人、双人冠军；
   2003年国际泳联跳水大奖赛中国站女子3米板单人、双人冠军。

田亮

   性别：男
   籍贯：重庆
   生日：1979.8.27
   身高：1.72米
   体重：60公斤
   项目：跳水
   主要成绩
   1995年世界杯双人、团体、混合团体冠军；
   1996年第26届奥运会男子10米跳台第4名；
   1997年八运会男子10米台亚军；
   1998年第13届亚运会男子10米跳台冠军；
   1999年世界杯10米跳台男子单人、双人冠军；
   1999年跳水大奖赛总决赛男子10米跳台冠军；
   2000年世界杯男子10米跳台单人、双人冠军；
   2000年第27届奥运会男子10米跳台单人冠军、双人亚军；
   2001年世锦赛男子10米跳台单人、双人冠军；
   2001年九运会男子10米跳台冠军；
   2001年度中国电视体育奖最佳男运动员奖；
   2002年全国跳水冠军赛男子10米跳台冠军；
   2002年世界杯男子10米跳台单人、双人冠军；
   2002年全国锦标赛男子10米跳台冠军。

劳丽诗（Lao Lishi）
性别：女
籍贯：广东湛江
生日：1987.12.12
身高：1.48米
体重：35公斤
项目：跳水

辉煌战绩
   2002年1月进入国家队。
   2001年九运会女子10米跳台双人冠军、单人第3名；
   2002年国际泳联跳水大奖赛西班牙站女子10米跳台冠军；
   2002年国际泳联跳水大奖赛加拿大站女子10米跳台冠军；
   2002年国际泳联跳水大奖赛美国站女子10米跳台双人冠军；
   2002年全国跳水锦标赛女子10米跳台亚军；
   2002年世界杯跳水赛女子10米跳台单人、双人冠军；
   2002年釜山亚运会女子10米跳台单人冠军；
   2003年国际泳联跳水大奖赛澳大利亚站女子10米跳台单人、双人冠军；
   2003年国际泳联跳水大奖赛中国站女子10米跳台单人、双人冠军。

王天凌（Wang Tianling）
性别：男
籍贯：上海
生日：1977.8.17
身高：1.78米
体重：70公斤
项目：跳水

辉煌战绩
   1999年全国跳水锦标赛男子1米板冠军；
   2001年世锦赛男子3米板亚军；
   2001年九运会男子3米板双人冠军，1米板亚军；
   2002年世界杯跳水赛男子3米跳板双人冠军；
   2002年全国跳水锦标赛男子1米跳板冠军。
